quantity_id,recipe_id,ingredient_id,max_qty,min_qty,unit,preparation,optional
1,214,1613,2.0,2.0,cup(s),,False
2,214,3334,0.25,0.25,cup(s),,False
3,214,2222,0.5,0.5,cup(s),melted,False
4,214,2797,0.25,0.25,cup(s),or water,False
5,214,3567,3.0,3.0,teaspoon(s),,False
6,214,3334,0.67,0.67,cup(s),divided,False
8,214,1414,1.0,1.0,cup(s),crushed,False
9,214,2196,1.0,1.0,cup(s),,False
11,214,924,0.25,0.25,teaspoon(s),,False
12,215,76,1.0,1.0,14 oz. can(s),,False
13,215,3567,1.0,1.0,envelope(s),,False
14,215,2019,2.0,2.0,tablespoon(s),,False
15,215,71,2.0,2.0,tablespoon(s),,False
16,215,2196,1.0,1.0,cup(s),,False
17,215,1286,1.0,1.0,cup(s),sliced,False
21,216,1286,1.0,1.0,pound(s),ripe,False
22,216,3567,1.5,1.5,envelope(s),,False
23,216,3649,0.25,0.25,cup(s),,False
24,216,3334,0.67,0.67,cup(s),,False
25,216,2196,2.0,2.0,cup(s),,False
28,217,792,1.0,1.0,tablespoon(s),,False
29,217,2019,1.0,1.0,teaspoon(s),,False
30,217,1402,2.0,2.0,cup(s),sliced,False
31,218,614,1.0,1.0,21 oz. can(s),,False
32,218,34,1.0,1.0,teaspoon(s),,False
33,218,2948,0.25,0.25,cup(s),uncooked,False
34,218,770,0.25,0.25,cup(s),toasted,False
35,218,30,2.0,2.0,tablespoon(s),,False
36,218,351,2.0,2.0,tablespoon(s),,False
37,218,1684,0.5,0.5,teaspoon(s),,False
38,218,374,2.0,2.0,tablespoon(s),softened,False
40,219,1137,3.0,3.0,tablespoon(s),,False
41,219,3595,1.0,1.0,teaspoon(s),,False
42,219,3338,3.0,3.0,packet(s),,False
43,219,3567,1.0,1.0,envelope(s),,False
44,219,2960,1.0,1.0,cup(s),,False
45,219,3338,3.0,3.0,packet(s),,False
46,219,1373,2.0,2.0,cup(s),rinsed and drained,False
47,220,2048,4.0,4.0,ounce(s),,False
48,220,3357,3.0,3.0,tablespoon(s),,False
49,220,3595,1.0,1.0,teaspoon(s),,False
50,220,3586,3.0,3.0,tablespoon(s),,False
51,220,2047,3.0,3.0,fl. ounce(s),,False
52,220,792,2.5,2.5,cup(s),,False
53,220,2328,2.0,2.0,tablespoon(s),shaved,False
54,221,1363,3.0,3.0,cup(s),pitted,False
55,221,3582,0.67,0.67,cup(s),,False
56,221,3334,0.33,0.33,cup(s),,False
57,221,3567,1.0,1.0,envelope(s),,False
58,221,2019,1.0,1.0,teaspoon(s),,False
59,221,1684,0.5,0.5,teaspoon(s),,False
60,221,1685,1.0,1.0,dash(es),,False
61,222,3567,2.0,2.0,envelope(s),,False
62,222,3649,0.5,0.5,cup(s),,False
63,222,1530,425.0,425.0,gram(s),,False
64,222,2196,0.75,0.75,cup(s),plain,False
65,222,2460,0.5,0.5,teaspoon(s),grated,False
67,222,3334,0.5,0.5,cup(s),granulated,False
72,223,2035,1.0,1.0,6 oz. can(s),thawed,False
73,223,3649,2.0,2.0,cup(s),,False
75,224,2537,1.0,1.0,ounce(s),shredded,False
76,224,2915,0.5,0.5,cup(s),,False
77,224,1604,0.25,0.25,cup(s),,False
78,224,3640,2.0,2.0,tablespoon(s),chopped,False
79,224,1684,0.5,0.5,teaspoon(s),,False
80,224,1696,0.5,0.5,teaspoon(s),,False
83,224,2457,3.0,3.0,tablespoon(s),warmed,False
84,225,3334,0.5,0.33,cup(s),,False
85,225,889,1.0,1.0,tablespoon(s),,False
86,225,1373,3.0,3.0,cup(s)," thawed, if frozen ",False
87,225,2019,4.0,4.0,teaspoon(s),,False
88,225,1351,1.0,1.0,teaspoon(s),grated,False
89,225,1684,1.0,1.0,teaspoon(s),,False
90,225,3021,0.13,0.13,teaspoon(s),,False
91,225,1267,1.0,1.0,cup(s),,False
92,225,3334,3.0,3.0,tablespoon(s),,False
93,225,125,1.5,1.5,teaspoon(s),,False
94,225,1684,0.25,0.25,teaspoon(s),,False
95,225,3021,0.25,0.25,teaspoon(s),,False
97,225,12,0.33,0.33,cup(s),,False
98,226,2253,4.0,4.0,cup(s)," sliced, peeled ",False
99,226,3334,1.0,1.0,cup(s),,False
100,226,363,2.0,2.0,tablespoon(s),,False
101,226,738,0.5,0.5,teaspoon(s),ground,False
102,226,2426,0.5,0.5,cup(s),broken,False
103,226,3021,1.0,1.0,teaspoon(s),,False
104,226,3118,0.5,0.5,cup(s),,False
105,226,3334,1.0,1.0,cup(s),,False
107,226,12,1.0,1.0,cup(s),,False
108,226,3595,1.0,1.0,teaspoon(s),,False
109,226,1267,2.0,2.0,cup(s),,False
110,226,125,2.5,2.5,teaspoon(s),,False
111,227,2417,0.5,0.5,cup(s),,False
112,227,889,1.5,1.5,teaspoon(s),,False
114,227,3595,0.75,0.75,teaspoon(s),,False
115,227,34,0.25,0.25,teaspoon(s),,False
118,228,494,4.0,4.0,cup(s),canned or frozen,False
119,228,612,1.5,1.0,cup(s),,False
120,228,3334,1.0,1.0,cup(s),,False
121,228,889,4.0,3.0,tablespoon(s),,False
122,228,34,0.5,0.5,teaspoon(s),,False
123,229,898,1.0,1.0,cup(s),uncooked,False
125,229,3567,3.0,3.0,envelope(s),,False
126,229,3649,1.0,1.0,cup(s),,False
127,229,60,4.0,4.0,cup(s),chilled,False
128,229,3595,1.0,1.0,teaspoon(s),,False
129,229,1684,1.0,1.0,teaspoon(s),,False
130,229,2796,1.0,1.0,pint(s),,False
133,230,3757,3.0,3.0,cup(s)," day-old, cubed ",False
134,230,1043,0.75,0.75,cup(s),,False
135,230,35,0.25,0.25,cup(s)," chopped, toasted ",False
137,230,2417,2.0,2.0,cup(s),,False
138,230,3334,0.5,0.5,cup(s),,False
139,230,3595,0.5,0.5,teaspoon(s),,False
140,230,34,0.5,0.5,teaspoon(s),,False
141,231,3334,1.25,1.25,cup(s),,False
142,231,1746,0.25,0.25,cup(s),,False
143,231,882,0.25,0.25,cup(s),,False
144,231,3649,2.0,2.0,tablespoon(s),,False
145,231,3021,0.13,0.13,teaspoon(s),,False
146,231,126,1.0,1.0,teaspoon(s),,False
147,231,2472,1.0,1.0,cup(s)," toasted, chopped ",False
148,232,2647,1.0,1.0,cup(s),pureed,False
149,232,3118,0.5,0.5,cup(s),,False
150,232,3334,1.0,1.0,cup(s),,False
152,232,56,0.5,0.5,cup(s),,False
153,232,30,1.5,1.5,cup(s),sifted,False
154,232,125,2.0,2.0,teaspoon(s),,False
155,232,3021,0.5,0.5,teaspoon(s),,False
156,232,1684,1.0,1.0,teaspoon(s),,False
157,232,1685,0.5,0.5,teaspoon(s),,False
